"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.1","1010.2","1010.7","2001-07-01 22:07","1007.7","2001-07-01 15:40","29.8","33.2","2001-07-01 13:53","26.5","2001-07-01 05:11","23.2","68","57","2001-07-01 07:26","1.3","320","4.8","140","2001-07-01 09:58","0.0","0.0","0.0","...","0.0","...","11.4","84.7","24.67","23.5","6.0","13","2001-07-01 12:00","2.0"
"02","1009.0","1010.1","1010.3","2001-07-02 00:01","1007.4","2001-07-02 15:20","29.4","33.3","2001-07-02 13:51","26.2","2001-07-02 04:58","22.2","65","48","2001-07-02 08:08","1.7","320","6.6","130","2001-07-02 15:34","0.0","0.0","0.0","...","0.0","...","11.7","86.9","26.18","23.8","6.5","12","2001-07-02 13:00","2.6"
"03","1004.7","1005.8","1009.1","2001-07-03 00:01","1000.6","2001-07-03 23:44","29.9","33.3","2001-07-03 12:12","26.7","2001-07-03 04:06","21.7","62","45","2001-07-03 08:37","3.0","40","13.6","100","2001-07-03 18:04","0.0","0.0","0.0","...","0.0","...","10.5","78.0","22.77","21.9","-5.4","12","2001-07-03 12:00","5.3"
"04","995.3","996.4","1000.8","2001-07-04 00:01","991.6","2001-07-04 16:07","28.5","32.0","2001-07-04 10:40","25.5","2001-07-04 07:30","23.4","75","49","2001-07-04 00:01","4.8","30","19.3","100","2001-07-04 13:14","84.0","6.2","14.0","2001-07-04 16:27","44.0","2001-07-04 16:18","1.3","9.7","9.94","13.6","-4.9","9","2001-07-04 13:00","9.6"
"05","996.5","997.6","1001.1","2001-07-05 23:53","992.2","2001-07-05 02:45","27.3","29.5","2001-07-05 09:28","24.3","2001-07-05 23:56","24.6","85","77","2001-07-05 12:45","2.6","70","16.4","90","2001-07-05 00:58","43.0","9.3","11.0","2001-07-05 23:35","17.5","2001-07-05 23:00","0.0","0.0","3.14","12.4","-2.8","3","2001-07-05 11:00","10.0"
"06","1003.8","1004.9","1008.3","2001-07-06 22:29","999.3","2001-07-06 02:57","28.1","32.9","2001-07-06 12:41","24.1","2001-07-06 00:33","24.0","79","60","2001-07-06 11:44","1.1","310","8.9","340","2001-07-06 21:16","22.3","4.4","12.5","2001-07-06 03:06","15.0","2001-07-06 03:00","6.5","48.4","20.22","17.5","-5.5","13","2001-07-06 13:00","8.8"
"07","1007.9","1009.0","1009.8","2001-07-07 23:10","1006.7","2001-07-07 00:31","28.7","32.4","2001-07-07 13:10","25.5","2001-07-07 03:03","24.9","80","70","2001-07-07 08:11","1.3","320","5.0","270","2001-07-07 14:33","1.0","0.6","0.3","2001-07-07 02:40","1.0","2001-07-07 02:40","8.5","63.3","21.73","20.0","4.9","12","2001-07-07 13:00","7.0"
"08","1008.6","1009.7","1009.6","2001-07-08 00:05","1007.2","2001-07-08 16:17","28.9","32.0","2001-07-08 11:53","26.4","2001-07-08 05:08","24.2","76","65","2001-07-08 19:09","1.3","320","4.4","50","2001-07-08 22:18","0.0","0.0","0.0","...","0.0","...","8.4","62.6","20.19","20.0","5.2","12","2001-07-08 12:00","6.4"
"09","1007.5","1008.6","1008.5","2001-07-09 06:30","1005.9","2001-07-09 16:11","29.1","32.1","2001-07-09 15:04","26.1","2001-07-09 05:52","23.4","72","56","2001-07-09 08:23","1.3","170","4.7","200","2001-07-09 10:11","0.0","0.0","0.0","...","0.0","...","10.9","81.3","24.05","20.0","4.9","12","2001-07-09 13:00","4.0"
