"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1011.0","1012.1","1013.1","2003-07-01 22:09","1009.7","2003-07-01 15:13","29.3","34.0","2003-07-01 12:30","25.7","2003-07-01 05:46","24.2","74","58","2003-07-01 07:45","1.4","190","6.5","210","2003-07-01 11:03","0.0","0.0","0.0","...","0.0","...","10.3","76.5","29.05","20.4","5.8","12","2003-07-01 13:00","3.9"
"02","1012.2","1013.3","1013.9","2003-07-02 22:17","1011.1","2003-07-02 14:24","29.6","33.5","2003-07-02 12:07","26.5","2003-07-02 04:54","24.6","75","63","2003-07-02 08:06","1.3","190","7.8","180","2003-07-02 12:19","0.0","0.0","0.0","...","0.0","...","10.2","75.8","28.81","21.3","5.0","12","2003-07-02 13:00","3.5"
"03","1011.6","1012.7","1013.5","2003-07-03 00:01","1010.1","2003-07-03 16:02","29.4","33.7","2003-07-03 13:20","25.8","2003-07-03 05:45","23.9","73","61","2003-07-03 07:55","1.4","180","6.4","160","2003-07-03 13:26","0.0","0.0","0.0","...","0.0","...","11.1","82.5","30.36","19.4","5.4","12","2003-07-03 13:00","3.4"
"04","1009.9","1011.0","1011.6","2003-07-04 00:01","1008.1","2003-07-04 15:58","29.3","33.6","2003-07-04 14:08","25.2","2003-07-04 05:02","23.6","72","53","2003-07-04 07:23","1.5","190","6.9","200","2003-07-04 13:19","0.0","0.0","0.0","...","0.0","...","11.6","86.2","29.57","21.9","-4.6","12","2003-07-04 12:00","3.4"
"05","1008.8","1009.9","1010.2","2003-07-05 06:49","1006.9","2003-07-05 16:31","29.7","34.0","2003-07-05 12:55","25.3","2003-07-05 05:32","24.7","75","59","2003-07-05 08:36","1.6","200","7.9","170","2003-07-05 09:13","1.0","0.3","0.8","2003-07-05 05:08","1.0","2003-07-05 05:05","9.1","67.7","28.43","21.3","5.3","12","2003-07-05 13:00","3.0"
"06","1007.7","1008.8","1009.7","2003-07-06 00:12","1005.3","2003-07-06 15:44","30.0","34.3","2003-07-06 11:13","26.1","2003-07-06 05:24","24.8","74","62","2003-07-06 11:13","1.8","40","9.2","170","2003-07-06 13:08","0.0","0.0","0.0","...","0.0","...","12.4","92.3","30.79","21.9","5.9","12","2003-07-06 12:00","2.3"
"07","1008.5","1009.6","1010.6","2003-07-07 22:36","1007.1","2003-07-07 01:54","29.8","33.9","2003-07-07 13:53","26.8","2003-07-07 04:36","24.3","73","59","2003-07-07 08:25","1.4","190","5.9","170","2003-07-07 14:00","0.0","0.0","0.0","...","0.0","...","12.3","91.6","30.09","20.0","5.6","11","2003-07-07 13:00","3.1"
"08","1009.4","1010.5","1012.6","2003-07-08 22:23","1007.7","2003-07-08 16:04","29.9","34.5","2003-07-08 13:00","25.1","2003-07-08 21:47","24.0","71","51","2003-07-08 07:52","1.2","290","8.8","110","2003-07-08 21:24","9.5","1.0","6.5","2003-07-08 21:34","9.5","2003-07-08 21:15","10.7","79.7","28.96","20.0","-5.3","12","2003-07-08 12:00","4.0"
"09","1010.0","1011.1","1011.7","2003-07-09 21:51","1008.3","2003-07-09 15:36","29.8","33.7","2003-07-09 11:48","26.4","2003-07-09 05:07","24.8","75","61","2003-07-09 08:25","1.4","180","6.0","210","2003-07-09 13:17","0.0","0.0","0.0","...","0.0","...","12.3","91.7","30.88","20.4","-5.7","12","2003-07-09 13:00","3.1"
"10","1009.4","1010.5","1010.9","2003-07-10 22:17","1007.7","2003-07-10 15:30","29.7","34.0","2003-07-10 14:00","26.5","2003-07-10 01:46","24.2","73","60","2003-07-10 08:17","1.3","170","5.4","170","2003-07-10 14:03","0.5","0.2","0.5","2003-07-10 01:40","0.5","2003-07-10 01:40","11.0","82.0","29.06","21.0","6.3","12","2003-07-10 13:00","3.1"
"11","1009.5","1010.6","1011.2","2003-07-11 21:58","1008.2","2003-07-11 16:13","30.0","34.1","2003-07-11 11:49","26.4","2003-07-11 04:51","24.1","71","55","2003-07-11 08:01","1.4","300","5.6","170","2003-07-11 14:45","0.0","0.0","0.0","...","0.0","...","12.4","92.6","30.82","21.3","7.3","12","2003-07-11 13:00","1.8"
"12","1009.7","1010.8","1011.0","2003-07-12 22:11","1008.0","2003-07-12 16:54","30.4","34.7","2003-07-12 13:04","26.7","2003-07-12 05:07","24.9","73","57","2003-07-12 13:57","1.4","220","5.5","160","2003-07-12 14:47","0.0","0.0","0.0","...","0.0","...","11.6","86.6","28.93","23.8","5.8","12","2003-07-12 13:00","3.4"
"13","1008.6","1009.7","1010.0","2003-07-13 00:01","1007.0","2003-07-13 17:04","30.2","34.6","2003-07-13 12:28","27.2","2003-07-13 05:17","25.7","77","62","2003-07-13 13:38","1.5","190","7.0","200","2003-07-13 11:48","0.0","0.0","0.0","...","0.0","...","11.3","84.5","28.73","23.5","6.8","12","2003-07-13 12:00","1.6"
"14","1006.8","1007.9","1008.5","2003-07-14 06:51","1004.7","2003-07-14 15:20","30.2","34.1","2003-07-14 14:22","27.3","2003-07-14 04:25","25.9","78","65","2003-07-14 10:50","1.6","180","6.8","190","2003-07-14 10:10","0.0","0.0","0.0","...","0.0","...","12.0","89.8","30.66","22.8","6.3","12","2003-07-14 13:00","2.3"
"15","1006.1","1007.2","1007.9","2003-07-15 22:28","1004.6","2003-07-15 12:38","30.4","34.8","2003-07-15 15:25","27.1","2003-07-15 05:45","25.5","76","60","2003-07-15 15:25","1.6","140","8.1","40","2003-07-15 16:56","0.0","0.0","0.0","...","0.0","...","12.2","91.3","30.31","23.1","6.1","11","2003-07-15 12:00","2.1"
"16","1007.2","1008.3","1009.3","2003-07-16 21:37","1006.3","2003-07-16 02:15","30.4","35.2","2003-07-16 11:50","26.9","2003-07-16 05:20","25.2","74","61","2003-07-16 10:49","2.0","40","8.5","20","2003-07-16 13:13","0.0","0.0","0.0","...","0.0","...","12.2","91.4","30.75","26.3","5.6","11","2003-07-16 13:00","1.9"
"17","1008.0","1009.1","1009.2","2003-07-17 08:40","1006.3","2003-07-17 16:40","30.0","34.4","2003-07-17 12:45","26.9","2003-07-17 05:36","24.3","72","60","2003-07-17 15:15","1.6","190","7.5","200","2003-07-17 11:49","0.0","0.0","0.0","...","0.0","...","11.7","87.7","29.71","21.0","6.7","11","2003-07-17 13:00","2.5"
"18","1007.0","1008.1","1008.3","2003-07-18 22:28","1005.5","2003-07-18 16:50","30.2","34.7","2003-07-18 14:48","26.3","2003-07-18 05:34","24.3","72","58","2003-07-18 08:10","1.6","260","7.5","180","2003-07-18 13:15","0.0","0.0","0.0","...","0.0","...","12.2","91.6","30.67","21.9","7.7","11","2003-07-18 13:00","2.3"
"19","1007.6","1008.7","1009.5","2003-07-19 21:55","1006.4","2003-07-19 02:58","30.6","35.4","2003-07-19 12:09","27.3","2003-07-19 05:08","24.2","69","56","2003-07-19 07:53","1.2","190","4.9","190","2003-07-19 13:32","0.0","0.0","0.0","...","0.0","...","11.4","85.6","29.07","22.0","-5.7","11","2003-07-19 13:00","3.3"
"20","1008.4","1009.5","1009.8","2003-07-20 21:27","1007.4","2003-07-20 01:55","29.8","33.8","2003-07-20 14:27","27.0","2003-07-20 08:09","24.1","72","57","2003-07-20 15:32","1.2","300","5.6","110","2003-07-20 07:31","0.6","1.2","0.4","2003-07-20 07:58","0.6","2003-07-20 07:55","6.4","48.1","19.57","20.0","4.2","9","2003-07-20 14:00","4.3"
