"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","990.6","991.7","996.2","2004-07-01 00:09","985.7","2004-07-01 15:07","24.9","27.4","2004-07-01 00:07","23.5","2004-07-01 13:49","23.8","94","81","2004-07-01 05:44","5.4","20","23.3","190","2004-07-01 22:43","204.5","23.0","21.0","2004-07-01 05:53","35.5","2004-07-01 10:05","0.0","0.0","3.30","6.6","-1.7","X","2004-07-01 10:00","10.0"
"02","993.4","994.5","996.2","2004-07-02 11:15","990.0","2004-07-02 00:08","25.9","27.0","2004-07-02 19:10","25.0","2004-07-02 15:35","25.0","95","81","2004-07-02 20:39","4.8","210","21.3","190","2004-07-02 11:02","72.5","20.9","7.0","2004-07-02 02:41","15.5","2004-07-02 02:17","0.0","0.0","1.33","8.3","-1.5","X","2004-07-02 10:00","10.0"
"03","996.6","997.7","999.3","2004-07-03 23:59","994.0","2004-07-03 03:14","26.1","29.5","2004-07-03 21:42","24.1","2004-07-03 03:18","24.4","91","68","2004-07-03 21:43","4.0","220","17.5","190","2004-07-03 11:53","44.5","15.1","4.0","2004-07-03 07:17","10.0","2004-07-03 07:00","0.0","0.0","1.03","12.4","-0.4","X","2004-07-03 10:00","9.9"
"04","1002.5","1003.6","1005.5","2004-07-04 23:55","997.4","2004-07-04 00:40","24.6","27.4","2004-07-04 00:04","23.5","2004-07-04 12:17","23.0","91","76","2004-07-04 00:04","1.3","310","11.4","280","2004-07-04 00:19","50.5","16.7","5.0","2004-07-04 12:06","17.5","2004-07-04 12:06","0.0","0.0","0.00","8.3","-1.3","X","2004-07-04 10:00","10.0"
"05","1004.9","1006.0","1006.2","2004-07-05 10:51","1003.4","2004-07-05 04:48","26.4","30.8","2004-07-05 13:25","23.2","2004-07-05 03:08","23.8","86","71","2004-07-05 13:13","1.0","310","7.3","30","2004-07-05 09:04","T","0.9","T","2004-07-05 00:30","T","2004-07-05 00:30","2.2","16.4","14.96","16.3","-1.7","0","2004-07-05 15:00","8.5"
"06","1005.5","1006.6","1007.5","2004-07-06 21:55","1003.8","2004-07-06 16:26","28.6","33.7","2004-07-06 12:16","24.9","2004-07-06 05:00","24.3","78","59","2004-07-06 11:24","1.6","50","7.0","50","2004-07-06 14:09","T","0.1","T","2004-07-06 04:50","T","2004-07-06 04:50","11.5","85.6","28.61","21.9","6.3","X","2004-07-06 10:00","3.4"
"07","1006.6","1007.7","1008.6","2004-07-07 22:58","1005.0","2004-07-07 15:54","28.9","33.2","2004-07-07 14:42","25.5","2004-07-07 05:27","24.0","76","58","2004-07-07 15:06","1.5","70","5.6","70","2004-07-07 16:24","0.0","0.0","0.0","...","0.0","...","11.1","82.6","26.41","19.4","6.8","0","2004-07-07 15:00","5.0"
"08","1008.2","1009.3","1010.0","2004-07-08 07:58","1006.3","2004-07-08 16:50","28.6","33.0","2004-07-08 12:08","25.8","2004-07-08 03:50","23.7","75","66","2004-07-08 09:05","1.4","190","5.7","200","2004-07-08 13:50","0.0","0.0","0.0","...","0.0","...","6.4","47.7","20.80","20.1","4.1","X","2004-07-08 10:00","6.0"
"09","1007.9","1009.0","1009.4","2004-07-09 22:40","1006.3","2004-07-09 15:33","28.9","32.4","2004-07-09 14:35","26.6","2004-07-09 04:21","25.0","80","70","2004-07-09 10:58","1.3","60","5.7","80","2004-07-09 12:06","0.0","0.0","0.0","...","0.0","...","5.2","38.8","20.17","16.0","5.0","9","2004-07-09 13:00","7.5"
"10","1008.3","1009.4","1009.3","2004-07-10 21:56","1007.2","2004-07-10 16:20","29.2","33.1","2004-07-10 13:30","25.8","2004-07-10 05:12","24.7","77","64","2004-07-10 15:52","1.5","310","6.7","110","2004-07-10 12:30","0.0","0.0","0.0","...","0.0","...","10.7","79.8","27.47","17.1","5.4","11","2004-07-10 13:00","3.8"
"11","1007.6","1008.7","1008.9","2004-07-11 08:12","1005.6","2004-07-11 15:35","28.8","32.7","2004-07-11 13:55","25.7","2004-07-11 04:27","24.3","77","65","2004-07-11 09:24","1.4","330","5.6","180","2004-07-11 14:14","0.0","0.0","0.0","...","0.0","...","11.9","88.8","29.65","18.5","6.4","11","2004-07-11 13:00","3.1"
"12","1008.6","1009.7","1010.6","2004-07-12 22:40","1007.0","2004-07-12 16:26","29.1","32.9","2004-07-12 14:05","26.3","2004-07-12 04:50","24.0","74","62","2004-07-12 14:59","1.7","20","5.6","30","2004-07-12 20:38","0.0","0.0","0.0","...","0.0","...","11.6","86.6","29.74","18.8","7.1","12","2004-07-12 12:00","1.8"
"13","1009.3","1010.4","1011.0","2004-07-13 07:25","1007.3","2004-07-13 15:14","29.4","33.0","2004-07-13 10:51","26.0","2004-07-13 06:02","23.7","72","61","2004-07-13 10:50","1.6","310","4.3","140","2004-07-13 10:53","0.0","0.0","0.0","...","0.0","...","10.9","81.5","26.91","17.5","5.9","11","2004-07-13 12:00","2.9"
"14","1007.9","1009.0","1010.2","2004-07-14 00:01","1005.9","2004-07-14 16:55","28.9","32.4","2004-07-14 11:23","25.6","2004-07-14 23:06","23.6","74","58","2004-07-14 08:44","3.0","50","11.9","60","2004-07-14 16:20","5.0","1.6","2.0","2004-07-14 22:53","4.0","2004-07-14 22:56","8.6","64.3","25.53","18.8","-5.3","12","2004-07-14 12:00","6.9"
"15","1011.3","1012.4","1013.5","2004-07-15 22:38","1009.3","2004-07-15 00:05","27.9","32.7","2004-07-15 12:21","24.5","2004-07-15 22:38","24.0","80","58","2004-07-15 12:35","1.7","360","7.5","110","2004-07-15 10:39","14.5","3.0","8.0","2004-07-15 21:40","11.0","2004-07-15 21:20","7.3","54.6","25.45","19.3","-6.8","12","2004-07-15 13:00","8.1"
"16","1011.6","1012.7","1013.2","2004-07-16 11:27","1009.7","2004-07-16 15:34","27.0","31.6","2004-07-16 14:43","23.5","2004-07-16 03:15","23.1","80","63","2004-07-16 15:00","1.3","320","6.8","180","2004-07-16 11:11","46.5","4.4","10.5","2004-07-16 02:36","24.0","2004-07-16 02:06","4.8","36.0","19.62","19.1","-2.9","11","2004-07-16 14:00","8.4"
"17","1009.6","1010.7","1011.6","2004-07-17 00:04","1007.8","2004-07-17 16:43","27.8","32.8","2004-07-17 11:57","25.3","2004-07-17 23:49","23.1","76","57","2004-07-17 10:42","1.4","100","7.7","110","2004-07-17 13:44","3.0","4.7","1.0","2004-07-17 20:16","1.5","2004-07-17 19:26","5.0","37.5","23.04","15.0","-6.1","13","2004-07-17 13:00","9.0"
"18","1008.3","1009.4","1009.5","2004-07-18 00:02","1006.7","2004-07-18 16:51","25.3","28.4","2004-07-18 11:00","23.5","2004-07-18 06:39","23.3","89","79","2004-07-18 11:10","0.9","330","4.1","30","2004-07-18 09:12","28.0","10.3","10.0","2004-07-18 06:22","16.5","2004-07-18 05:54","1.9","14.3","9.79","13.0","-0.8","7","2004-07-18 11:00","9.1"
"19","1009.7","1010.8","1012.6","2004-07-19 22:04","1008.1","2004-07-19 02:27","28.0","32.3","2004-07-19 13:53","24.4","2004-07-19 05:37","23.5","77","65","2004-07-19 11:23","1.2","310","4.6","180","2004-07-19 12:52","0.0","0.0","0.0","...","0.0","...","7.9","59.3","23.93","19.0","-5.9","13","2004-07-19 12:00","6.0"
"20","1012.2","1013.3","1014.4","2004-07-20 22:43","1010.9","2004-07-20 04:20","28.5","32.7","2004-07-20 13:36","24.3","2004-07-20 02:09","24.4","79","67","2004-07-20 08:51","1.4","80","5.8","100","2004-07-20 01:40","7.5","1.1","4.5","2004-07-20 01:41","7.5","2004-07-20 01:15","9.1","68.4","24.28","20.8","4.1","9","2004-07-20 11:00","5.1"
"21","1013.5","1014.6","1014.8","2004-07-21 10:54","1012.5","2004-07-21 15:34","28.9","32.8","2004-07-21 12:53","25.6","2004-07-21 05:20","24.1","75","67","2004-07-21 07:33","1.8","330","7.1","60","2004-07-21 12:20","0.0","0.0","0.0","...","0.0","...","11.9","89.6","30.19","20.4","6.7","12","2004-07-21 13:00","2.1"
"22","1012.6","1013.7","1013.9","2004-07-22 07:31","1011.4","2004-07-22 16:16","28.9","32.8","2004-07-22 12:57","25.6","2004-07-22 03:43","23.5","73","61","2004-07-22 08:20","1.7","330","7.3","30","2004-07-22 10:09","0.0","0.0","0.0","...","0.0","...","11.5","86.6","29.68","20.0","5.5","12","2004-07-22 13:00","2.8"
"23","1010.1","1011.2","1011.6","2004-07-23 00:01","1008.7","2004-07-23 16:25","28.5","32.4","2004-07-23 13:01","25.1","2004-07-23 05:33","23.3","74","63","2004-07-23 12:52","1.6","100","6.1","60","2004-07-23 10:35","0.0","0.0","0.0","...","0.0","...","10.6","79.9","29.28","19.4","6.3","11","2004-07-23 13:00","2.0"
"24","1007.7","1008.8","1009.2","2004-07-24 00:01","1006.2","2004-07-24 15:36","28.1","32.0","2004-07-24 12:56","24.3","2004-07-24 05:23","22.5","72","60","2004-07-24 14:18","1.6","310","5.2","90","2004-07-24 11:51","0.0","0.0","0.0","...","0.0","...","11.0","83.0","29.72","21.9","6.4","11","2004-07-24 12:00","2.3"
