"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1011.0","1012.1","1012.6","2008-07-01 22:26","1009.3","2008-07-01 15:28","29.0","32.7","2008-07-01 13:37","26.3","2008-07-01 05:18","24.9","79","71","2008-07-01 08:00","1.3","200","7.2","190","2008-07-01 12:56","0.0","0.0","0.0","...","0.0","...","8.6","63.9","24.38","17.6","5.4","11","2008-07-01 13:00","3.8"
"02","1009.7","1010.8","1011.5","2008-07-02 00:01","1007.4","2008-07-02 15:21","29.4","33.3","2008-07-02 14:08","26.5","2008-07-02 04:36","25.5","80","70","2008-07-02 14:08","1.6","200","8.1","220","2008-07-02 12:32","0.0","0.0","0.0","...","0.0","...","11.2","83.2","28.77","18.3","5.2","11","2008-07-02 12:00","1.9"
"03","1010.4","1011.5","1011.4","2008-07-03 22:09","1009.6","2008-07-03 02:46","29.4","32.9","2008-07-03 13:43","26.9","2008-07-03 05:02","25.0","77","68","2008-07-03 13:33","1.5","190","5.8","210","2008-07-03 15:52","0.0","0.0","0.0","...","0.0","...","12.1","89.9","28.98","15.0","5.6","11","2008-07-03 12:00","2.1"
"04","1009.7","1010.8","1010.8","2008-07-04 09:13","1008.1","2008-07-04 16:51","29.5","32.7","2008-07-04 13:00","26.2","2008-07-04 05:08","24.6","75","61","2008-07-04 07:49","1.6","310","5.5","200","2008-07-04 15:48","0.0","0.0","0.0","...","0.0","...","12.1","90.0","29.10","18.9","6.4","11","2008-07-04 13:00","1.8"
"05","1008.7","1009.8","1010.1","2008-07-05 23:07","1006.9","2008-07-05 16:34","29.4","33.1","2008-07-05 13:07","25.3","2008-07-05 23:35","24.4","75","62","2008-07-05 07:30","1.5","190","7.5","170","2008-07-05 23:08","10.0","0.8","4.5","2008-07-05 23:15","10.0","2008-07-05 23:05","12.0","89.3","28.99","22.5","-5.9","11","2008-07-05 13:00","4.1"
"06","1007.8","1008.9","1009.4","2008-07-06 00:01","1006.3","2008-07-06 14:50","28.4","32.3","2008-07-06 13:05","25.9","2008-07-06 00:05","24.8","81","71","2008-07-06 10:03","1.5","310","5.0","230","2008-07-06 05:05","3.5","1.6","1.5","2008-07-06 17:16","3.0","2008-07-06 16:59","7.9","58.8","23.28","16.4","-4.3","11","2008-07-06 12:00","7.8"
"07","1007.1","1008.2","1009.3","2008-07-07 21:21","1005.0","2008-07-07 17:13","28.6","32.2","2008-07-07 11:43","26.2","2008-07-07 05:32","23.8","75","67","2008-07-07 08:21","1.3","310","4.3","110","2008-07-07 10:17","0.0","0.0","0.0","...","0.0","...","6.8","50.6","18.04","25.6","3.3","10","2008-07-07 12:00","9.1"
"08","1008.4","1009.5","1009.8","2008-07-08 19:48","1006.2","2008-07-08 02:22","27.2","32.9","2008-07-08 11:44","24.9","2008-07-08 15:07","23.8","82","69","2008-07-08 11:44","1.4","350","10.5","230","2008-07-08 14:50","16.0","5.0","4.0","2008-07-08 14:55","10.7","2008-07-08 14:54","0.9","6.7","11.61","15.5","-2.2","9","2008-07-08 12:00","9.8"
"09","1009.2","1010.3","1010.6","2008-07-09 21:17","1008.0","2008-07-09 03:58","26.8","31.4","2008-07-09 12:50","24.7","2008-07-09 19:30","23.6","83","70","2008-07-09 13:03","1.2","310","6.5","40","2008-07-09 14:00","7.8","5.1","3.5","2008-07-09 14:34","6.0","2008-07-09 13:55","1.3","9.7","13.60","14.6","-1.8","9","2008-07-09 13:00","10.0"
"10","1006.8","1007.9","1009.2","2008-07-10 00:01","1005.6","2008-07-10 15:53","27.6","31.9","2008-07-10 10:46","24.8","2008-07-10 04:01","23.3","78","64","2008-07-10 09:44","1.3","310","5.7","270","2008-07-10 15:31","0.1","0.3","0.1","2008-07-10 17:01","0.1","2008-07-10 17:01","6.2","46.2","20.68","18.6","-4.4","10","2008-07-10 12:00","6.4"
"11","1004.4","1005.5","1006.3","2008-07-11 00:01","1003.0","2008-07-11 16:17","28.1","32.9","2008-07-11 12:58","24.8","2008-07-11 05:09","23.1","75","61","2008-07-11 09:37","1.5","320","5.1","310","2008-07-11 01:11","0.5","0.7","0.4","2008-07-11 18:01","0.5","2008-07-11 18:01","8.1","60.5","23.39","22.3","-3.5","10","2008-07-11 13:00","4.4"
"12","1004.0","1005.1","1005.8","2008-07-12 22:06","1002.8","2008-07-12 04:23","28.8","32.6","2008-07-12 12:29","25.0","2008-07-12 05:27","23.8","75","65","2008-07-12 10:11","1.6","310","6.8","120","2008-07-12 13:31","0.0","0.0","0.0","...","0.0","...","12.1","90.4","28.56","18.8","6.5","10","2008-07-12 13:00","2.4"
"13","1005.8","1006.9","1008.5","2008-07-13 21:43","1003.8","2008-07-13 02:33","29.2","33.1","2008-07-13 14:00","25.8","2008-07-13 05:17","24.3","75","67","2008-07-13 07:37","1.6","310","7.0","110","2008-07-13 11:06","0.0","0.0","0.0","...","0.0","...","11.1","83.0","27.64","17.0","6.0","9","2008-07-13 13:00","6.5"
"14","1006.2","1007.3","1007.7","2008-07-14 10:33","1004.5","2008-07-14 17:21","29.4","33.1","2008-07-14 13:18","26.0","2008-07-14 05:19","23.9","73","59","2008-07-14 09:24","1.7","320","7.0","100","2008-07-14 13:10","0.0","0.0","0.0","...","0.0","...","11.5","86.0","28.29","19.4","5.7","10","2008-07-14 13:00","3.4"
"15","1003.7","1004.8","1006.0","2008-07-15 00:01","1001.6","2008-07-15 15:16","29.4","33.1","2008-07-15 12:33","26.5","2008-07-15 04:59","23.7","72","57","2008-07-15 08:09","1.9","60","9.3","70","2008-07-15 15:14","0.0","0.0","0.0","...","0.0","...","10.0","74.9","25.59","20.6","5.9","10","2008-07-15 12:00","3.1"
"16","1000.4","1001.5","1002.8","2008-07-16 00:01","998.3","2008-07-16 16:58","29.4","33.2","2008-07-16 12:23","26.7","2008-07-16 05:00","24.1","73","60","2008-07-16 08:37","2.3","50","12.8","40","2008-07-16 15:44","0.0","0.0","0.0","...","0.0","...","7.1","53.2","23.62","15.5","4.8","11","2008-07-16 13:00","7.0"
