"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1005.0","1006.1","1007.5","2021-07-01 21:59","1003.2","2021-07-01 16:05","29.3","32.2","2021-07-01 13:43","26.8","2021-07-01 05:06","25.6","81","71","2021-07-01 07:07","1.7","120","6.4","80","2021-07-01 13:08","0.0","0.0","0.0","...","0.0","...","12.3","91.4","28.47","26.9","3.9","14","2021-07-01 12:00","3.8"
"02","1006.3","1007.4","1008.0","2021-07-02 21:39","1005.0","2021-07-02 02:57","29.8","32.3","2021-07-02 10:52","27.4","2021-07-02 04:35","25.3","77","66","2021-07-02 11:07","1.5","60","7.1","30","2021-07-02 08:10","0.0","0.0","0.0","...","0.0","...","10.8","80.3","27.03","30.0","6.0","14","2021-07-02 12:00","6.3"
"03","1007.2","1008.3","1009.3","2021-07-03 22:12","1006.2","2021-07-03 01:30","29.5","32.1","2021-07-03 13:55","27.2","2021-07-03 05:30","24.9","77","63","2021-07-03 08:05","1.5","200","6.3","210","2021-07-03 14:26","0.0","0.0","0.0","...","0.0","...","11.8","87.7","27.68","28.8","6.2","13","2021-07-03 12:00","4.1"
"04","1008.6","1009.7","1010.6","2021-07-04 21:42","1007.3","2021-07-04 14:50","29.6","32.5","2021-07-04 14:29","27.2","2021-07-04 05:08","25.3","78","63","2021-07-04 08:53","1.7","100","6.4","110","2021-07-04 10:56","T","0.2","T","2021-07-04 11:05","T","2021-07-04 11:05","9.8","72.9","24.23","33.8","-6.5","12","2021-07-04 14:00","3.6"
"05","1007.8","1008.9","1009.9","2021-07-05 00:01","1005.9","2021-07-05 16:37","29.4","32.8","2021-07-05 14:04","26.4","2021-07-05 23:59","25.2","78","67","2021-07-05 11:17","2.4","50","13.4","40","2021-07-05 23:39","5.5","2.3","3.0","2021-07-05 18:47","3.5","2021-07-05 18:10","10.0","74.4","25.71","30.6","/","15","2021-07-05 12:00","6.0"
"06","1007.7","1008.8","1012.2","2021-07-06 23:29","1005.1","2021-07-06 05:27","28.3","31.3","2021-07-06 13:59","25.0","2021-07-06 02:19","25.5","85","73","2021-07-06 14:17","1.9","190","13.4","60","2021-07-06 00:04","38.0","5.2","6.5","2021-07-06 23:23","13.5","2021-07-06 23:03","8.3","61.8","23.72","22.5","-6.1","14","2021-07-06 12:00","6.4"
"07","1011.3","1012.4","1012.7","2021-07-07 22:45","1009.9","2021-07-07 16:02","29.1","32.2","2021-07-07 11:38","25.6","2021-07-07 00:20","25.8","82","69","2021-07-07 08:30","1.5","210","6.0","220","2021-07-07 14:00","1.5","0.5","1.5","2021-07-07 00:14","1.5","2021-07-07 00:01","12.0","89.4","28.54","29.4","-5.5","14","2021-07-07 13:00","3.6"
"08","1011.4","1012.5","1012.6","2021-07-08 06:38","1009.8","2021-07-08 16:36","29.4","32.2","2021-07-08 14:51","26.8","2021-07-08 05:22","25.2","79","63","2021-07-08 15:03","1.4","310","5.0","200","2021-07-08 13:27","0.0","0.0","0.0","...","0.0","...","12.1","90.2","28.83","31.9","7.4","14","2021-07-08 13:00","2.5"
"09","1010.4","1011.5","1011.8","2021-07-09 00:08","1009.2","2021-07-09 16:35","29.2","32.1","2021-07-09 14:44","26.1","2021-07-09 05:25","24.8","77","65","2021-07-09 07:48","1.6","180","4.9","160","2021-07-09 11:04","0.0","0.0","0.0","...","0.0","...","12.4","92.5","28.91","35.6","5.9","14","2021-07-09 13:00","2.8"
"10","1011.0","1012.1","1013.3","2021-07-10 22:08","1009.8","2021-07-10 16:44","29.2","32.0","2021-07-10 13:23","26.3","2021-07-10 05:16","24.7","77","64","2021-07-10 07:27","1.4","310","4.6","160","2021-07-10 11:52","0.0","0.0","0.0","...","0.0","...","12.3","91.8","28.48","37.5","6.0","13","2021-07-10 12:00","5.0"
"11","1011.9","1013.0","1012.9","2021-07-11 00:01","1010.6","2021-07-11 17:17","29.6","32.5","2021-07-11 13:28","26.7","2021-07-11 05:30","24.6","75","63","2021-07-11 07:58","1.3","320","5.2","160","2021-07-11 11:32","0.0","0.0","0.0","...","0.0","...","12.2","91.1","27.92","34.4","5.9","14","2021-07-11 13:00","5.0"
"12","1010.9","1012.0","1012.3","2021-07-12 00:01","1009.3","2021-07-12 15:56","29.4","32.0","2021-07-12 12:40","26.6","2021-07-12 05:33","24.7","76","61","2021-07-12 07:58","1.3","310","4.5","170","2021-07-12 11:54","0.0","0.0","0.0","...","0.0","...","11.5","86.0","25.49","35.0","4.1","14","2021-07-12 12:00","5.4"
"13","1009.1","1010.2","1010.4","2021-07-13 00:01","1007.8","2021-07-13 15:51","29.7","32.6","2021-07-13 12:37","27.0","2021-07-13 04:58","25.4","78","67","2021-07-13 08:09","1.4","150","4.7","160","2021-07-13 13:20","3.0","0.5","1.5","2021-07-13 20:18","3.0","2021-07-13 20:06","12.0","89.8","28.43","39.1","-6.0","14","2021-07-13 13:00","3.5"
"14","1008.7","1009.8","1010.0","2021-07-14 21:13","1007.6","2021-07-14 14:13","29.5","32.5","2021-07-14 12:19","27.0","2021-07-14 20:22","24.9","77","61","2021-07-14 10:09","2.0","70","9.7","100","2021-07-14 19:09","0.5","0.7","0.5","2021-07-14 19:53","0.5","2021-07-14 19:53","10.4","77.9","27.13","34.4","-5.9","14","2021-07-14 13:00","6.8"
"15","1009.0","1010.1","1010.1","2021-07-15 07:41","1007.9","2021-07-15 03:00","28.6","32.4","2021-07-15 11:51","26.2","2021-07-15 07:12","24.4","78","66","2021-07-15 12:03","1.5","350","6.7","80","2021-07-15 12:03","5.0","1.1","4.5","2021-07-15 07:04","5.0","2021-07-15 07:04","4.4","33.0","17.69","32.5","-3.3","14","2021-07-15 12:00","6.9"
"16","1008.3","1009.4","1009.7","2021-07-16 07:00","1006.7","2021-07-16 16:33","29.0","32.2","2021-07-16 12:13","26.1","2021-07-16 04:25","24.5","77","61","2021-07-16 11:00","1.7","90","6.2","110","2021-07-16 12:20","1.0","1.1","T","2021-07-16 01:40","0.5","2021-07-16 01:26","7.2","54.0","23.75","33.8","6.4","14","2021-07-16 12:00","7.1"
"17","1005.2","1006.3","1007.6","2021-07-17 00:01","1003.6","2021-07-17 16:52","29.4","32.4","2021-07-17 12:48","26.9","2021-07-17 05:20","24.1","73","59","2021-07-17 08:40","1.9","340","8.1","80","2021-07-17 13:44","0.0","0.0","0.0","...","0.0","...","9.7","72.8","24.90","34.1","5.5","13","2021-07-17 13:00","7.0"
