"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1005.7","1006.8","1007.9","2009-07-01 00:01","1003.4","2009-07-01 16:37","29.4","32.9","2009-07-01 13:50","26.3","2009-07-01 05:37","24.2","74","65","2009-07-01 13:50","1.7","260","9.3","30","2009-07-01 15:17","0.0","0.0","0.0","...","0.0","...","12.3","91.3","29.31","17.0","6.0","10","2009-07-01 13:00","2.0"
"02","1005.6","1006.7","1008.1","2009-07-02 22:13","1004.0","2009-07-02 17:11","29.3","32.9","2009-07-02 12:23","26.9","2009-07-02 04:03","24.6","76","61","2009-07-02 12:23","1.5","100","5.4","80","2009-07-02 12:07","0.0","0.0","0.0","...","0.0","...","9.2","68.3","25.44","12.0","5.9","10","2009-07-02 12:00","5.5"
"03","1004.5","1005.6","1007.5","2009-07-03 21:55","1002.3","2009-07-03 15:35","28.2","30.3","2009-07-03 12:26","26.3","2009-07-03 05:10","23.6","76","67","2009-07-03 08:01","1.5","70","6.2","30","2009-07-03 15:30","0.2","0.3","0.1","2009-07-03 22:10","0.2","2009-07-03 22:10","2.0","14.9","12.40","15.3","-2.8","5","2009-07-03 13:00","8.1"
"04","1006.6","1007.7","1009.4","2009-07-04 23:03","1004.2","2009-07-04 04:35","28.2","31.4","2009-07-04 16:30","26.2","2009-07-04 05:00","24.1","79","67","2009-07-04 16:28","1.5","60","6.9","10","2009-07-04 16:22","0.0","0.0","0.0","...","0.0","...","2.8","20.8","15.16","12.9","4.7","10","2009-07-04 13:00","8.6"
"05","1009.2","1010.3","1011.1","2009-07-05 22:24","1007.3","2009-07-05 03:08","28.2","32.0","2009-07-05 13:24","26.1","2009-07-05 17:29","24.0","78","66","2009-07-05 07:41","1.2","310","5.6","190","2009-07-05 16:44","28.0","1.6","8.5","2009-07-05 16:36","27.0","2009-07-05 16:19","7.5","55.8","20.84","13.5","-5.6","9","2009-07-05 13:00","6.1"
"06","1010.3","1011.4","1011.8","2009-07-06 11:13","1008.7","2009-07-06 17:10","28.1","32.2","2009-07-06 12:53","25.8","2009-07-06 05:33","23.3","75","66","2009-07-06 12:53","1.6","310","7.9","40","2009-07-06 10:42","0.0","0.0","0.0","...","0.0","...","4.9","36.5","21.53","20.0","5.1","10","2009-07-06 13:00","5.9"
"07","1009.1","1010.2","1010.5","2009-07-07 00:02","1007.4","2009-07-07 15:37","28.7","32.2","2009-07-07 14:17","25.2","2009-07-07 05:11","23.8","75","67","2009-07-07 07:31","1.4","320","4.7","140","2009-07-07 12:45","0.0","0.0","0.0","...","0.0","...","11.6","86.4","28.78","22.5","6.3","11","2009-07-07 13:00","3.1"
"08","1007.3","1008.4","1009.0","2009-07-08 00:04","1005.6","2009-07-08 15:02","29.4","32.7","2009-07-08 13:23","26.0","2009-07-08 04:41","23.9","73","61","2009-07-08 08:01","1.8","310","6.8","120","2009-07-08 13:02","0.0","0.0","0.0","...","0.0","...","11.5","85.7","29.47","20.6","5.5","11","2009-07-08 13:00","3.5"
"09","1004.9","1006.0","1007.2","2009-07-09 00:01","1002.9","2009-07-09 15:11","29.7","33.0","2009-07-09 13:33","26.1","2009-07-09 05:31","23.8","71","61","2009-07-09 08:04","2.5","40","10.7","20","2009-07-09 18:54","0.0","0.0","0.0","...","0.0","...","11.4","85.0","28.79","20.0","-6.7","11","2009-07-09 13:00","3.0"
