"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.6","1008.7","1009.8","2000-07-01 21:06","1006.0","2000-07-01 13:24","27.6","31.9","2000-07-01 14:33","23.5","2000-07-01 21:00","22.2","73","63","2000-07-01 18:18","1.2","330","5.7","260","2000-07-01 18:57","18.0","2.5","11.5","2000-07-01 20:30","16.1","2000-07-01 20:08","4.7","34.9","15.01","21.3","5.0","9","2000-07-01 14:00","5.1"
"02","1006.4","1007.5","1007.9","2000-07-02 00:01","1004.5","2000-07-02 15:45","28.6","32.5","2000-07-02 13:20","25.3","2000-07-02 00:01","22.1","68","63","2000-07-02 13:54","1.7","330","6.9","140","2000-07-02 11:38","0.0","0.0","0.0","...","0.0","...","10.5","78.0","25.32","23.1","7.6","12","2000-07-02 13:00","1.5"
"03","1003.0","1004.1","1006.1","2000-07-03 00:03","1000.9","2000-07-03 16:50","29.2","32.8","2000-07-03 13:01","25.6","2000-07-03 05:08","22.0","65","59","2000-07-03 07:41","2.3","50","10.9","120","2000-07-03 15:58","0.0","0.0","0.0","...","0.0","...","11.8","87.7","26.67","22.5","7.7","12","2000-07-03 12:00","2.4"
"04","1000.7","1001.8","1002.6","2000-07-04 21:15","999.3","2000-07-04 15:16","28.6","32.4","2000-07-04 13:04","23.6","2000-07-04 20:44","22.9","72","64","2000-07-04 00:58","1.9","330","8.9","80","2000-07-04 11:36","15.3","1.1","7.5","2000-07-04 20:31","15.2","2000-07-04 19:45","9.1","67.7","23.64","19.4","6.6","12","2000-07-04 13:00","6.8"
"05","1000.5","1001.6","1002.5","2000-07-05 22:00","999.5","2000-07-05 14:00","25.4","28.2","2000-07-05 09:27","23.7","2000-07-05 18:59","21.5","79","65","2000-07-05 01:00","1.7","360","16.1","130","2000-07-05 09:30","56.5","15.0","7.5","2000-07-05 18:54","22.5","2000-07-05 18:30","0.0","0.0","3.30","12.1","2.1","4","2000-07-05 10:00","9.3"
"06","1000.2","1001.3","1001.4","2000-07-06 09:13","998.9","2000-07-06 03:50","27.7","31.6","2000-07-06 13:27","23.7","2000-07-06 19:00","22.0","72","59","2000-07-06 13:07","3.2","40","13.8","80","2000-07-06 12:30","6.5","2.1","2.0","2000-07-06 07:18","3.5","2000-07-06 07:18","3.7","27.5","16.65","17.9","1.4","12","2000-07-06 12:00","9.4"
"07","1000.2","1001.3","1001.6","2000-07-07 01:23","998.5","2000-07-07 17:11","24.6","26.4","2000-07-07 00:05","23.3","2000-07-07 23:10","21.0","81","69","2000-07-07 20:30","1.4","40","9.4","80","2000-07-07 13:29","82.5","14.1","10.0","2000-07-07 01:02","30.5","2000-07-07 00:58","0.0","0.0","3.28","11.3","2.2","4","2000-07-07 13:00","10.0"
"08","997.6","998.7","1001.1","2000-07-08 01:00","995.4","2000-07-08 23:59","24.5","29.5","2000-07-08 10:49","23.0","2000-07-08 02:00","20.8","81","65","2000-07-08 08:50","1.1","360","8.6","100","2000-07-08 11:29","71.0","14.5","5.6","2000-07-08 16:20","21.5","2000-07-08 15:40","0.9","6.7","7.23","13.1","1.2","9","2000-07-08 11:00","9.8"
"09","990.8","991.9","997.2","2000-07-09 23:59","981.9","2000-07-09 07:24","26.2","28.8","2000-07-09 17:28","23.4","2000-07-09 01:33","23.8","87","68","2000-07-09 18:30","3.7","220","23.8","290","2000-07-09 09:50","126.0","14.3","8.0","2000-07-09 05:41","32.5","2000-07-09 05:32","0.0","0.0","3.55","13.3","2.0","2","2000-07-09 15:00","9.1"
