"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.8","1010.9","1011.1","2007-07-01 22:44","1008.6","2007-07-01 16:14","29.2","32.5","2007-07-01 12:10","26.1","2007-07-01 04:38","23.7","73","61","2007-07-01 09:45","1.6","310","6.1","190","2007-07-01 15:09","0.0","0.0","0.0","...","0.0","...","11.3","83.9","27.10","21.0","6.4","9","2007-07-01 12:00","4.1"
"02","1009.2","1010.3","1010.7","2007-07-02 00:12","1007.5","2007-07-02 16:58","29.6","33.0","2007-07-02 13:17","26.4","2007-07-02 04:55","24.1","72","60","2007-07-02 07:33","1.6","190","6.6","170","2007-07-02 12:01","0.0","0.0","0.0","...","0.0","...","11.7","86.9","28.65","19.1","4.8","10","2007-07-02 13:00","3.3"
"03","1008.9","1010.0","1010.0","2007-07-03 00:02","1007.1","2007-07-03 16:35","29.8","33.1","2007-07-03 11:54","26.9","2007-07-03 06:01","24.6","74","66","2007-07-03 07:47","1.7","190","8.0","230","2007-07-03 14:31","0.0","0.0","0.0","...","0.0","...","11.1","82.5","28.35","23.1","7.6","10","2007-07-03 12:00","3.1"
"04","1006.7","1007.8","1009.0","2007-07-04 00:01","1004.5","2007-07-04 15:43","30.5","33.5","2007-07-04 15:06","27.0","2007-07-04 05:24","24.5","71","60","2007-07-04 14:45","2.2","200","13.3","200","2007-07-04 14:28","0.0","0.0","0.0","...","0.0","...","12.1","90.0","29.14","19.4","6.3","10","2007-07-04 13:00","1.4"
"05","1007.1","1008.2","1009.3","2007-07-05 22:19","1005.0","2007-07-05 16:02","30.1","33.4","2007-07-05 14:09","27.5","2007-07-05 04:55","24.6","72","62","2007-07-05 14:07","2.7","200","12.9","210","2007-07-05 16:40","0.0","0.0","0.0","...","0.0","...","12.3","91.5","27.86","19.1","8.1","9","2007-07-05 12:00","3.0"
"06","1008.3","1009.4","1009.4","2007-07-06 22:20","1007.1","2007-07-06 04:23","29.9","33.3","2007-07-06 14:27","27.0","2007-07-06 05:35","24.7","74","66","2007-07-06 12:46","1.4","190","7.0","200","2007-07-06 14:40","0.0","0.0","0.0","...","0.0","...","10.3","76.7","25.28","17.8","6.3","9","2007-07-06 13:00","6.0"
"07","1008.2","1009.3","1009.8","2007-07-07 06:44","1007.1","2007-07-07 15:44","29.8","33.8","2007-07-07 13:47","26.9","2007-07-07 05:04","24.6","74","63","2007-07-07 13:00","1.4","190","6.4","170","2007-07-07 14:49","0.0","0.0","0.0","...","0.0","...","9.3","69.2","26.70","19.4","5.6","10","2007-07-07 13:00","3.4"
"08","1006.0","1007.1","1007.8","2007-07-08 00:01","1004.1","2007-07-08 18:07","30.1","33.7","2007-07-08 12:24","26.9","2007-07-08 05:27","24.9","74","65","2007-07-08 09:54","1.3","190","7.5","220","2007-07-08 12:46","0.0","0.0","0.0","...","0.0","...","12.2","90.9","29.06","18.1","7.3","10","2007-07-08 13:00","1.8"
"09","1004.0","1005.1","1005.8","2007-07-09 00:04","1001.9","2007-07-09 15:51","30.2","33.5","2007-07-09 13:58","27.5","2007-07-09 04:26","25.1","75","63","2007-07-09 07:25","1.5","190","5.8","180","2007-07-09 11:53","T","0.3","T","2007-07-09 21:10","T","2007-07-09 21:10","11.3","84.2","28.13","18.4","-5.5","11","2007-07-09 12:00","3.4"
