"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1012.2","1013.3","1013.3","2005-07-01 22:23","1010.9","2005-07-01 16:10","28.9","32.7","2005-07-01 12:06","25.7","2005-07-01 05:13","23.3","72","58","2005-07-01 07:56","1.5","310","5.8","330","2005-07-01 06:11","0.0","0.0","0.0","...","0.0","...","11.6","86.1","28.46","20.4","5.8","13","2005-07-01 13:00","3.0"
"02","1011.2","1012.3","1012.6","2005-07-02 00:07","1009.0","2005-07-02 16:56","29.2","33.0","2005-07-02 14:31","25.9","2005-07-02 05:00","24.5","76","61","2005-07-02 08:00","1.8","200","7.3","210","2005-07-02 14:22","4.5","1.3","1.5","2005-07-02 22:41","4.0","2005-07-02 22:41","11.8","87.7","28.40","19.1","-5.7","14","2005-07-02 12:00","3.1"
"03","1009.9","1011.0","1012.0","2005-07-03 00:01","1008.4","2005-07-03 16:10","29.4","33.2","2005-07-03 12:58","26.6","2005-07-03 05:29","24.7","76","67","2005-07-03 12:58","1.8","190","7.5","190","2005-07-03 14:09","0.0","0.0","0.0","...","0.0","...","10.3","76.5","27.31","19.4","6.0","14","2005-07-03 13:00","5.1"
"04","1008.5","1009.6","1009.7","2005-07-04 10:33","1007.4","2005-07-04 16:08","29.3","32.6","2005-07-04 12:37","26.1","2005-07-04 05:34","23.7","72","64","2005-07-04 14:46","2.0","190","8.3","200","2005-07-04 16:31","0.0","0.0","0.0","...","0.0","...","9.8","72.9","26.49","18.3","6.8","13","2005-07-04 13:00","6.1"
"05","1007.8","1008.9","1008.8","2005-07-05 21:28","1006.9","2005-07-05 01:54","29.4","32.7","2005-07-05 14:53","25.4","2005-07-05 05:36","23.2","70","54","2005-07-05 07:27","1.9","200","8.8","190","2005-07-05 10:54","0.0","0.0","0.0","...","0.0","...","10.9","81.1","27.59","21.0","5.0","12","2005-07-05 13:00","2.4"
"06","1007.5","1008.6","1008.8","2005-07-06 22:08","1006.1","2005-07-06 16:16","29.2","33.0","2005-07-06 13:10","26.4","2005-07-06 04:37","23.3","71","55","2005-07-06 07:55","1.4","310","11.1","220","2005-07-06 17:40","0.0","0.0","0.0","...","0.0","...","9.5","70.7","24.41","21.9","4.5","11","2005-07-06 13:00","5.4"
"07","1008.0","1009.1","1010.1","2005-07-07 22:20","1006.7","2005-07-07 03:20","29.4","32.7","2005-07-07 11:10","26.8","2005-07-07 05:31","24.1","73","62","2005-07-07 10:59","2.8","200","13.5","200","2005-07-07 16:11","6.0","0.9","3.5","2005-07-07 13:02","6.0","2005-07-07 12:50","10.5","78.2","24.97","21.3","-2.9","13","2005-07-07 12:00","2.9"
"08","1009.0","1010.1","1011.0","2005-07-08 22:21","1007.0","2005-07-08 15:43","29.7","32.0","2005-07-08 11:41","27.3","2005-07-08 05:48","24.3","73","68","2005-07-08 07:17","3.5","200","12.8","180","2005-07-08 14:48","0.0","0.0","0.0","...","0.0","...","11.6","86.4","26.85","23.1","6.2","13","2005-07-08 12:00","3.9"
"09","1009.4","1010.5","1011.2","2005-07-09 22:04","1007.5","2005-07-09 14:10","29.6","33.0","2005-07-09 11:44","26.0","2005-07-09 05:34","23.6","70","62","2005-07-09 07:06","2.6","200","10.6","180","2005-07-09 14:47","0.0","0.0","0.0","...","0.0","...","12.3","91.7","28.82","23.9","5.1","13","2005-07-09 12:00","1.5"
"10","1011.3","1012.4","1012.6","2005-07-10 21:13","1010.2","2005-07-10 16:11","29.5","33.2","2005-07-10 13:12","26.6","2005-07-10 05:50","24.0","72","61","2005-07-10 08:22","1.7","200","8.5","210","2005-07-10 13:34","0.0","0.0","0.0","...","0.0","...","11.3","84.3","27.26","19.8","5.9","12","2005-07-10 12:00","2.0"
"11","1011.0","1012.1","1012.3","2005-07-11 00:03","1009.1","2005-07-11 16:21","29.8","33.1","2005-07-11 13:13","26.9","2005-07-11 05:07","24.3","72","62","2005-07-11 07:35","2.4","200","9.5","210","2005-07-11 14:15","0.0","0.0","0.0","...","0.0","...","10.0","74.6","26.88","20.6","5.0","14","2005-07-11 13:00","2.9"
"12","1010.3","1011.4","1011.7","2005-07-12 08:59","1008.1","2005-07-12 15:55","29.9","32.9","2005-07-12 12:25","27.6","2005-07-12 03:36","24.9","75","67","2005-07-12 07:22","1.8","200","7.8","180","2005-07-12 13:02","0.0","0.0","0.0","...","0.0","...","10.8","80.7","26.97","20.1","5.6","14","2005-07-12 12:00","4.5"
"13","1011.1","1012.2","1013.2","2005-07-13 22:12","1010.0","2005-07-13 04:11","29.8","32.7","2005-07-13 12:11","27.4","2005-07-13 05:31","24.7","74","63","2005-07-13 11:38","1.4","310","6.3","170","2005-07-13 15:39","0.0","0.0","0.0","...","0.0","...","11.2","83.7","26.81","19.1","4.8","13","2005-07-13 13:00","3.4"
"14","1012.5","1013.6","1013.8","2005-07-14 21:50","1011.3","2005-07-14 16:06","29.7","33.0","2005-07-14 13:45","27.0","2005-07-14 04:52","23.7","70","58","2005-07-14 07:42","1.3","320","4.6","170","2005-07-14 12:50","0.0","0.0","0.0","...","0.0","...","12.0","89.8","28.38","17.9","5.8","13","2005-07-14 13:00","1.9"
"15","1011.6","1012.7","1013.1","2005-07-15 09:11","1010.3","2005-07-15 15:43","30.1","33.4","2005-07-15 11:27","27.2","2005-07-15 05:53","23.6","68","58","2005-07-15 09:45","1.9","60","6.7","60","2005-07-15 10:46","0.0","0.0","0.0","...","0.0","...","10.5","78.6","27.40","19.8","5.2","14","2005-07-15 13:00","2.4"
"16","1007.2","1008.3","1010.7","2005-07-16 00:01","1003.3","2005-07-16 23:55","30.1","33.7","2005-07-16 13:55","27.1","2005-07-16 05:38","23.0","66","56","2005-07-16 12:22","2.9","50","12.4","60","2005-07-16 12:04","0.0","0.0","0.0","...","0.0","...","11.5","86.2","28.07","19.4","7.2","13","2005-07-16 13:00","2.4"
"17","996.1","997.2","1003.2","2005-07-17 00:01","986.2","2005-07-17 23:08","28.0","32.6","2005-07-17 08:43","26.0","2005-07-17 23:08","21.8","70","50","2005-07-17 08:39","1.5","330","13.6","30","2005-07-17 10:21","4.5","3.0","0.5","2005-07-17 10:18","2.0","2005-07-17 12:29","1.1","8.2","5.83","16.6","-1.2","3","2005-07-17 14:00","8.5"
