"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1005.5","1006.6","1007.7","2002-07-01 21:54","1004.7","2002-07-01 04:52","30.0","33.5","2002-07-01 13:23","26.8","2002-07-01 05:45","24.4","72","61","2002-07-01 13:23","1.4","100","5.5","130","2002-07-01 14:59","T","0.1","T","2002-07-01 00:00","T","2002-07-01 00:00","11.2","83.2","25.05","21.6","5.6","14","2002-07-01 12:00","2.4"
"02","1004.0","1005.1","1006.3","2002-07-02 00:01","1002.0","2002-07-02 17:13","30.5","34.2","2002-07-02 13:50","27.3","2002-07-02 05:27","23.5","66","56","2002-07-02 10:03","2.2","40","11.3","90","2002-07-02 16:32","0.0","0.0","0.0","...","0.0","...","11.8","87.7","25.58","23.8","6.7","13","2002-07-02 12:00","2.9"
"03","995.3","996.4","1002.1","2002-07-03 00:01","989.5","2002-07-03 23:59","30.2","34.6","2002-07-03 12:02","27.9","2002-07-03 01:23","22.6","64","52","2002-07-03 08:49","1.6","310","8.0","250","2002-07-03 12:59","0.0","0.0","0.0","...","0.0","...","2.9","21.6","14.11","18.1","3.7","10","2002-07-03 12:00","7.8"
"04","992.5","993.6","998.1","2002-07-04 22:19","987.4","2002-07-04 02:58","30.7","35.1","2002-07-04 12:05","27.8","2002-07-04 02:33","25.3","73","50","2002-07-04 09:38","2.2","70","9.1","110","2002-07-04 06:16","0.0","0.0","0.0","...","0.0","...","9.6","71.4","21.46","21.3","3.5","13","2002-07-04 12:00","5.5"
"05","999.1","1000.2","1002.0","2002-07-05 21:24","996.5","2002-07-05 02:04","30.8","36.1","2002-07-05 14:40","27.7","2002-07-05 04:08","25.3","73","51","2002-07-05 14:39","2.0","60","8.2","160","2002-07-05 11:55","0.0","0.0","0.0","...","0.0","...","11.3","84.1","23.25","19.4","-4.5","13","2002-07-05 13:00","2.3"
"06","1001.3","1002.4","1002.9","2002-07-06 10:03","999.8","2002-07-06 14:26","29.5","34.1","2002-07-06 12:47","25.1","2002-07-06 23:24","24.8","76","56","2002-07-06 12:49","1.6","180","8.9","270","2002-07-06 10:29","10.5","3.0","7.0","2002-07-06 23:20","9.9","2002-07-06 22:35","8.1","60.3","21.15","18.8","-1.8","13","2002-07-06 13:00","5.4"
"07","999.9","1001.0","1002.8","2002-07-07 00:01","997.7","2002-07-07 16:45","28.1","33.4","2002-07-07 12:53","24.8","2002-07-07 01:48","24.1","80","62","2002-07-07 11:28","1.5","70","6.3","90","2002-07-07 11:01","15.5","4.8","5.0","2002-07-07 01:40","6.7","2002-07-07 01:40","4.4","32.8","14.90","17.1","-6.0","15","2002-07-07 13:00","9.5"
"08","996.2","997.3","998.9","2002-07-08 00:01","994.4","2002-07-08 16:12","25.7","27.5","2002-07-08 08:14","24.7","2002-07-08 22:12","24.1","91","78","2002-07-08 08:15","1.4","20","7.3","70","2002-07-08 23:03","57.5","14.6","5.0","2002-07-08 10:42","13.5","2002-07-08 10:01","0.0","0.0","3.11","11.4","-1.5","3","2002-07-08 12:00","10.0"
"09","990.7","991.8","994.6","2002-07-09 00:01","988.2","2002-07-09 15:25","27.3","31.1","2002-07-09 15:38","24.3","2002-07-09 02:52","24.8","87","71","2002-07-09 14:57","1.2","120","4.9","350","2002-07-09 06:14","25.0","8.7","2.5","2002-07-09 01:01","7.5","2002-07-09 00:55","5.1","38.0","15.55","16.5","-2.1","14","2002-07-09 13:00","8.1"
